Segment>>,Consumer,F3,F4,F5,Consumer Total,Corporate,F8,F9,F10,Corporate Total,Home Office,F13,F14,F15,Home Office Total
CA-2011-123925,,,40.049999999999997,,40.05,,,,,,,,,,
CA-2011-124023,8.9600000000000009,,,,8.96,,,,,,,,,,
CA-2011-124618,,,479.98400000000004,,479.984,,,,,,,,,,
CA-2011-124688,,,,,,1812.01,,,,1812.01,,,,,
CA-2011-125136,,,,,,,,,106.944,106.944,,,,,
CA-2011-125682,,,,,,9.9600000000000009,,,,9.96,,,,,
CA-2011-127299,,,,2692.3290000000002,2692.329,,,,,,,,,,
CA-2011-127488,,,4.6079999999999997,,4.608,,,,,,,,,,
CA-2011-127614,,,,1508.13,1508.13,,,,,,,,,,
CA-2011-128839,,,,254.96999999999997,254.97,,,,,,,,,,
CA-2011-128846,,,,,,,,,752.92,752.92,,,,,
CA-2011-129091,,,,,,,,,1022.61,1022.61,,,,,
CA-2011-129819,,,,,,,,12.39,,12.39,,,,,
CA-2011-130155,34.200000000000003,,,,34.2,,,,,,,,,,
CA-2011-130428,,1142.1649999999997,,,1142.165,,,,,,,,,,
CA-2011-130918,,,7.6320000000000014,,7.632,,,,,,,,,,
CA-2011-131527,,,,95.968000000000004,95.968,,,,,,,,,,
CA-2011-131541,,193.15199999999999,,,193.152,,,,,,,,,,
CA-2011-131905,,,,,,321.56,,,,321.56,,,,,
CA-2011-132010,,,,,,,,,,,389.74,,,,389.74
CA-2011-132612,,,1441.3,,1441.3,,,,,,,,,,
CA-2011-133634,,,,,,,,,,,,,,47.79,47.79
CA-2011-134551,,,,732.31200000000001,732.312,,,,,,,,,,
CA-2011-134621,,,,,,,,,,,,,,18.240000000000002,18.24
CA-2011-136336,,,,,,,,,828.83999999999992,828.84,,,,,
CA-2011-136567,,,,,,,,,,,2884.37,,,,2884.37
CA-2011-136861,31.983999999999998,,,,31.984,,,,,,,,,,
CA-2011-137911,,,,,,,,,88.768000000000001,88.768,,,,,
CA-2011-138296,,,,24.56,24.56,,,,,,,,,,
CA-2011-138527,,,,,,,,,192.42400000000001,192.424,,,,,
CA-2011-138709,,,,37.44,37.44,,,,,,,,,,
CA-2011-140165,,,,,,,,,,,405.45600000000002,,,,405.456
CA-2011-140886,,,,69.216000000000008,69.216,,,,,,,,,,
CA-2011-142727,,,69.900000000000006,,69.9,,,,,,,,,,
CA-2011-142951,,23.472000000000001,,,23.472,,,,,,,,,,
CA-2011-143182,,,,15.384,15.384,,,,,,,,,,
CA-2011-143840,,,,180.93,180.93,,,,,,,,,,
CA-2011-145317,,,,,,,,,,,,,,23661.227999999999,23661.228
CA-2011-145576,,,26.128,,26.128,,,,,,,,,,
CA-2011-146731,,,,147.34400000000002,147.344,,,,,,,,,,
CA-2011-146885,,,,,,,,,13.620000000000001,13.62,,,,,
CA-2011-148285,,,,,,,,,,,,,,22.320000000000004,22.32
CA-2011-148425,,,,,,,,,6.6420000000000012,6.642,,,,,
CA-2011-149020,,,,,,,,,54.83,54.83,,,,,
CA-2011-149538,,,,,,,,,364.92999999999995,364.93,,,,,
CA-2011-149958,,,,370.78200000000004,370.782,,,,,,,,,,
CA-2011-151953,,,,,,,,,2.8160000000000003,2.816,,,,,
CA-2011-151967,,,,,,,,,129.91999999999999,129.92,,,,,
CA-2011-152254,,310.68799999999999,,,310.688,,,,,,,,,,
CA-2011-152268,,,,1793.98,1793.98,,,,,,,,,,
CA-2011-152562,,,,,,,,,75.16,75.16,,,,,
CA-2011-152849,,,,,,,,,4.3680000000000003,4.368,,,,,
CA-2011-153087,,,,,,,,,521.91999999999996,521.92,,,,,
CA-2011-153913,,,,,,,,1015.8160000000001,,1015.816,,,,,
CA-2011-153927,286.65000000000003,,,,286.65,,,,,,,,,,
CA-2011-154158,,,619.84800000000018,,619.848,,,,,,,,,,
CA-2011-155208,,,,,,,,,39.072000000000003,39.072,,,,,
CA-2011-155390,,,,42.207999999999998,42.208,,,,,,,,,,
CA-2011-155852,,,19.456000000000003,,19.456,,,,,,,,,,
CA-2011-156006,,,47.79,,47.79,,,,,,,,,,
CA-2011-156244,,,,,,,,,,,,,,457.74400000000003,457.744
CA-2011-156790,,,155.45600000000002,,155.456,,,,,,,,,,
CA-2011-157609,,,,,,,,,,,,,471.92,,471.92
CA-2011-157784,514.03000000000009,,,,514.03,,,,,,,,,,
CA-2011-158274,,,,,,,,,,,,,682.91,,682.91
CA-2011-158470,,,129.33000000000001,,129.33,,,,,,,,,,
CA-2011-158771,,,,,,,158.70999999999998,,,158.71,,,,,
CA-2011-159184,,,,149.56,149.56,,,,,,,,,,
CA-2011-159681,,,,105.52,105.52,,,,,,,,,,
CA-2011-160094,1000.95,,,,1000.95,,,,,,,,,,
CA-2011-160276,,,,,,,,,177.68,177.68,,,,,
CA-2011-160773,,,,,,,,,581.10399999999993,581.104,,,,,
CA-2011-161634,,,,32.400000000000006,32.4,,,,,,,,,,
CA-2011-162775,,,,,,,,1287.26,,1287.26,,,,,
CA-2011-163013,,,,14.669999999999998,14.67,,,,,,,,,,
CA-2011-163223,,,,,,,,,3769.5600000000004,3769.56,,,,,
CA-2011-163293,,,,,,116.85,,,,116.85,,,,,
CA-2011-164315,,,,1220.67,1220.67,,,,,,,,,,
CA-2011-164749,9.9120000000000008,,,,9.912,,,,,,,,,,
CA-2011-164910,,,,,,,,7.8719999999999999,,7.872,,,,,
CA-2011-165764,,,,1395.6730000000002,1395.673,,,,,,,,,,
CA-2011-165806,,,,,,,,,,,,259.28999999999996,,,259.29
CA-2011-166051,,,,773.7,773.7,,,,,,,,,,
CA-2011-166457,,,40.54,,40.54,,,,,,,,,,
CA-2011-166730,39.128,,,,39.128,,,,,,,,,,
CA-2011-167199,,,,,,,,,,,,,,4374.88,4374.88
CA-2011-167850,,,,,,,,,193.93600000000001,193.936,,,,,
CA-2011-169257,,,,63.381,63.381,,,,,,,,,,
CA-2011-169684,,,,,,426.94200000000001,,,,426.942,,,,,
CA-2011-169775,,,709.04250000000013,,709.0425,,,,,,,,,,
CA-2012-100769,,,,,,,,,,,,255.96799999999999,,,255.968
CA-2012-100888,,,,47.952000000000005,47.952,,,,,,,,,,
CA-2012-101868,,,,175.32,175.32,,,,,,,,,,
CA-2012-102260,,,,,,,,,,,,,,763.50800000000004,763.508
CA-2012-102491,,,,3747.9300000000003,3747.93,,,,,,,,,,
CA-2012-102582,,,,1918.79,1918.79,,,,,,,,,,
CA-2012-102722,106.5,,,,106.5,,,,,,,,,,
CA-2012-102778,18.175999999999998,,,,18.176,,,,,,,,,,
CA-2012-103093,,,,74.52,74.52,,,,,,,,,,
CA-2012-103135,,,,,,,,,,,,,,525.95000000000005,525.95
CA-2012-103772,,,,,,,,,,,,,,260.31,260.31
CA-2012-103793,,,,,,,,,74.352000000000004,74.352,,,,,
CA-2012-103870,,,,,,,,,284.44000000000005,284.44,,,,,
CA-2012-104038,,,,,,176.63,,,,176.63,,,,,
CA-2012-104115,,,,55.984000000000009,55.984,,,,,,,,,,
CA-2012-104241,,,,,,,,,192.22,192.22,,,,,
CA-2012-104941,,,,,,,,,976.29,976.29,,,,,
CA-2012-105571,,,,,,,,,1361.6310000000001,1361.631,,,,,
CA-2012-106187,,,,,,,,,268.39999999999998,268.4,,,,,
CA-2012-107678,,,,893.09,893.09,,,,,,,,,,
CA-2012-108119,,,,301.95999999999998,301.96,,,,,,,,,,
CA-2012-108259,,,,,,,,,81.135000000000005,81.135,,,,,
CA-2012-109386,,,750.93,,750.93,,,,,,,,,,
CA-2012-109470,,,,,,,,596.48,,596.48,,,,,
CA-2012-109708,,,,,,,,467.03999999999996,,467.04,,,,,
CA-2012-110247,,,,8.2260000000000009,8.226,,,,,,,,,,
CA-2012-110345,,,4.6079999999999997,,4.608,,,,,,,,,,
CA-2012-110947,,,,,,,,,,,,,,113.10000000000001,113.1
CA-2012-111199,,,,115.29600000000001,115.296,,,,,,,,,,
CA-2012-111703,,,,27.504000000000005,27.504,,,,,,,,,,
CA-2012-112375,,,,78.192000000000007,78.192,,,,,,,,,,
CA-2012-113628,,,,,,,,,792.50800000000004,792.508,,,,,
CA-2012-114300,,,,371.65999999999997,371.66,,,,,,,,,,
CA-2012-114503,,,,84.960000000000008,84.96,,,,,,,,,,
CA-2012-115091,,,,,,,,,,,,,,75.040000000000006,75.04
CA-2012-115847,,,,,,,,,,,,,61.96,,61.96
CA-2012-115938,,,,535.36,535.36,,,,,,,,,,
CA-2012-116638,,,4297.6440000000002,,4297.644,,,,,,,,,,
CA-2012-116750,,,,,,,,12.158000000000003,,12.158,,,,,
CA-2012-117828,194.32,,,,194.32,,,,,,,,,,
CA-2012-117884,,598.35199999999998,,,598.352,,,,,,,,,,
CA-2012-118444,,,,387.13600000000002,387.136,,,,,,,,,,
CA-2012-118843,,,,199.86,199.86,,,,,,,,,,
CA-2012-119480,,,,364.07,364.07,,,,,,,,,,
CA-2012-119592,,,,,,,,3.76,,3.76,,,,,
CA-2012-119634,,,,46.152000000000001,46.152,,,,,,,,,,
CA-2012-120516,,,,5.64,5.64,,,,,,,,,,
CA-2012-120621,,,,1270.3789999999999,1270.379,,,,,,,,,,
CA-2012-120845,,,,,,,,,22.549000000000003,22.549,,,,,
CA-2012-121552,,,,,,,,,19.559999999999999,19.56,,,,,
CA-2012-121720,,,,,,3165.7440000000001,,,,3165.744,,,,,
CA-2012-122168,,,,,,,,,53.28,53.28,,,,,
CA-2012-122266,,,,194.1395,194.1395,,,,,,,,,,
CA-2012-123092,,,,288.85000000000002,288.85,,,,,,,,,,
CA-2012-123330,,,,107.97600000000001,107.976,,,,,,,,,,
CA-2012-125066,,,,,,,,,62.459999999999994,62.46,,,,,
CA-2012-125563,,,,121.88799999999999,121.888,,,,,,,,,,
CA-2012-125696,,,,,,,,,,,,,,7.3800000000000008,7.38
CA-2012-125976,,,,2026.7800000000002,2026.78,,,,,,,,,,
CA-2012-128027,,,269.49,,269.49,,,,,,,,,,
CA-2012-128083,,,,,,,,,45.976000000000006,45.976,,,,,
CA-2012-128139,,,,365.91,365.91,,,,,,,,,,
CA-2012-128958,,,,,,,,,,,,,,13.120000000000001,13.12
CA-2012-129098,,,,30.84,30.84,,,,,,,,,,
CA-2012-130218,59.480000000000004,,,,59.48,,,,,,,,,,
CA-2012-131422,,,,,,,,,207,207,,,,,
CA-2012-132318,182.91,,,,182.91,,,,,,,,,,
CA-2012-133242,,,,1046.47,1046.47,,,,,,,,,,
CA-2012-133396,,,,,,64.680000000000007,,,,64.68,,,,,
CA-2012-133977,,,,,,,,,,,,,3.4440000000000008,,3.444
CA-2012-134257,,,498.93,,498.93,,,,,,,,,,
CA-2012-134719,,,,1801.6320000000001,1801.632,,,,,,,,,,
CA-2012-134782,,,,105.42,105.42,,,,,,,,,,
CA-2012-134894,,,,436.86,436.86,,,,,,,,,,
CA-2012-134992,,,,,,,,,,,,,80.38,,80.38
CA-2012-135510,,,,,,,,,,,,,,67.959999999999994,67.96
CA-2012-136147,,,,233.06400000000002,233.064,,,,,,,,,,
CA-2012-136224,,10.272000000000002,,,10.272,,,,,,,,,,
CA-2012-137106,,,,,,,,,79.959999999999994,79.96,,,,,
CA-2012-137281,,,,,,,,,6.48,6.48,,,,,
CA-2012-137974,2298.8999999999996,,,,2298.9,,,,,,,,,,
CA-2012-138457,,,,13.092000000000002,13.092,,,,,,,,,,
CA-2012-138625,197.72,,,,197.72,,,,,,,,,,
CA-2012-140718,,,,,,246.36400000000003,,,,246.364,,,,,
CA-2012-140830,,,,,,,,,,,,,89.36,,89.36
CA-2012-141145,,,,87.168000000000006,87.168,,,,,,,,,,
CA-2012-141327,440.14400000000001,,,,440.144,,,,,,,,,,
CA-2012-141565,,,,1664.1320000000001,1664.132,,,,,,,,,,
CA-2012-141754,,,,,,,,,,,,,,11.696,11.696
CA-2012-142202,,,,,,,,717.12000000000012,,717.12,,,,,
CA-2012-142755,,,,919.4899999999999,919.49,,,,,,,,,,
CA-2012-143119,,,,517.5,517.5,,,,,,,,,,
CA-2012-143532,,,,14.496000000000002,14.496,,,,,,,,,,
CA-2012-144288,,,,19.584000000000003,19.584,,,,,,,,,,
CA-2012-145324,,,,,,,,,,,,,,39.96,39.96
CA-2012-145352,,,,6412.7699999999995,6412.77,,,,,,,,,,
CA-2012-147011,,,,,,,,,13.632,13.632,,,,,
CA-2012-147102,,,,,,,,,66.36,66.36,,,,,
CA-2012-147529,,,,,,,,,324.10999999999996,324.11,,,,,
CA-2012-147879,,,,45.68,45.68,,,,,,,,,,
CA-2012-148705,,,,5.04,5.04,,,,,,,,,,
CA-2012-149300,32.984999999999999,,,,32.985,,,,,,,,,,
CA-2012-149342,,,,,,,,,896.31,896.31,,,,,
CA-2012-149734,,,,,,,,,200.98400000000004,200.984,,,,,
CA-2012-150308,,,,,,,,,246.16800000000001,246.168,,,,,
CA-2012-150560,196.62,,,,196.62,,,,,,,,,,
CA-2012-150749,,,5.56,,5.56,,,,,,,,,,
CA-2012-151547,,,,88.960000000000008,88.96,,,,,,,,,,
CA-2012-151624,,,,,,,,,21.36,21.36,,,,,
CA-2012-153038,,,,,,,,,94.688000000000017,94.688,,,,,
CA-2012-153325,,,58.72,,58.72,,,,,,,,,,
CA-2012-153535,,,,169.54399999999998,169.544,,,,,,,,,,
CA-2012-153549,,,,,,,,,,,,,1166.92,,1166.92
CA-2012-153626,,,,5.16,5.16,,,,,,,,,,
CA-2012-153752,,,173.94,,173.94,,,,,,,,,,
CA-2012-154291,,,,,,,,,457.03999999999996,457.04,,,,,
CA-2012-154746,,,,,,860.07,,,,860.07,,,,,
CA-2012-154921,,,,,,,,,186.69,186.69,,,,,
CA-2012-155068,,78.456000000000003,,,78.456,,,,,,,,,,
CA-2012-155453,,,,,,,,,4.6079999999999997,4.608,,,,,
CA-2012-155600,,,1635.0180000000003,,1635.018,,,,,,,,,,
CA-2012-155635,,,,48.81,48.81,,,,,,,,,,
CA-2012-156328,,,,177.48000000000002,177.48,,,,,,,,,,
CA-2012-156734,,,,,,670.00099999999998,,,,670.001,,,,,
CA-2012-158148,,,,36.269999999999996,36.27,,,,,,,,,,
CA-2012-158323,,,,,,17.088000000000001,,,,17.088,,,,,
CA-2012-158421,,,,3631.96,3631.96,,,,,,,,,,
CA-2012-160059,,,,,,,,,,,,,,6.24,6.24
CA-2012-160696,,,,,,,,,7.2400000000000011,7.24,,,,,
CA-2012-161445,,,,,,,,140.73599999999999,,140.736,,,,,
CA-2012-161998,,,,,,,,,277.63200000000001,277.632,,,,,
CA-2012-162201,,,,,,,,,937.60800000000006,937.608,,,,,
CA-2012-162537,,,,104.51,104.51,,,,,,,,,,
CA-2012-162761,,,,50.462000000000003,50.462,,,,,,,,,,
CA-2012-163237,,,,,,,,520.03,,520.03,,,,,
CA-2012-163923,,,,,,,,,,,,,,151.96,151.96
CA-2012-163965,,,,377.90200000000004,377.902,,,,,,,,,,
CA-2012-164427,,,,,,,,,239.70000000000002,239.7,,,,,
CA-2012-165414,47.975999999999999,,,,47.976,,,,,,,,,,
CA-2012-165624,,,,1142.4299999999998,1142.43,,,,,,,,,,
CA-2012-166604,,,,,,,,17.940000000000001,,17.94,,,,,
CA-2012-166975,,,,,,,,,692.47199999999998,692.472,,,,,
CA-2012-167696,,,,31.12,31.12,,,,,,,,,,
CA-2012-168004,,,,,,,,392.93999999999994,,392.94,,,,,
CA-2012-168459,,,,58.050000000000004,58.05,,,,,,,,,,
CA-2012-169572,,,,,,,,,46.62,46.62,,,,,
CA-2012-169677,,,,,,,,9.82,,9.82,,,,,
CA-2012-169733,,,9.952,,9.952,,,,,,,,,,
CA-2012-169740,,,,29.99,29.99,,,,,,,,,,
CA-2013-100307,,,,,,,,,,,,,,19.440000000000001,19.44
CA-2013-101378,,29,,,29,,,,,,,,,,
CA-2013-101469,,,,7.7,7.7,,,,,,,,,,
CA-2013-101525,,,140.52000000000001,,140.52,,,,,,,,,,
CA-2013-102092,1056.8599999999999,,,,1056.86,,,,,,,,,,
CA-2013-102162,,,,1611.01,1611.01,,,,,,,,,,
CA-2013-102498,73.2,,,,73.2,,,,,,,,,,
CA-2013-104157,,,,2503.4699999999998,2503.47,,,,,,,,,,
CA-2013-104276,,,,447.78300000000007,447.783,,,,,,,,,,
CA-2013-105256,,1363.96,,,1363.96,,,,,,,,,,
CA-2013-105662,,,,,,,,,,,,,,270.72800000000001,270.728
CA-2013-105753,,,,,,,,,,,,,,61.1,61.1
CA-2013-106558,,,,,,,,,316,316,,,,,
CA-2013-106894,,107.83,,,107.83,,,,,,,,,,
CA-2013-106950,,,,1854.2410000000002,1854.241,,,,,,,,,,
CA-2013-108105,,,,323.88,323.88,,,,,,,,,,
CA-2013-108567,,,,2.6940000000000004,2.694,,,,,,,,,,
CA-2013-108616,,,,298.83,298.83,,,,,,,,,,
CA-2013-109344,,,,,,,,,,,,,1127.9760000000001,,1127.976
CA-2013-109407,,,,,,,,31.36,,31.36,,,,,
CA-2013-109722,,,1284.8000000000002,,1284.8,,,,,,,,,,
CA-2013-109743,,,,,,,,,104.712,104.712,,,,,
CA-2013-109911,,,,,,,,,10.96,10.96,,,,,
CA-2013-110254,,,,,,,,,,,,,,158.81,158.81
CA-2013-110492,1366.0400000000002,,,,1366.04,,,,,,,,,,
CA-2013-111409,,,,3,3,,,,,,,,,,
CA-2013-111605,,,,2.61,2.61,,,,,,,,,,
CA-2013-112102,,,,448.81,448.81,,,,,,,,,,
CA-2013-112277,,,,,,,,,519.67999999999995,519.68,,,,,
CA-2013-112676,,,,,,14.352000000000002,,,,14.352,,,,,
CA-2013-112697,,,,,,,,1410.0660000000003,,1410.066,,,,,
CA-2013-113236,,,,,,,,232.62400000000002,,232.624,,,,,
CA-2013-113292,,,871.80000000000007,,871.8,,,,,,,,,,
CA-2013-113733,,,,334.25600000000003,334.256,,,,,,,,,,
CA-2013-113747,,,,185.88,185.88,,,,,,,,,,
CA-2013-113831,,,,,,,,,4317.3,4317.3,,,,,
CA-2013-113845,,,,,,,,,574.05600000000004,574.056,,,,,
CA-2013-114713,,,,,,,,,45.584000000000003,45.584,,,,,
CA-2013-115504,,,,,,,,,12.96,12.96,,,,,
CA-2013-116232,,,,24.065999999999999,24.066,,,,,,,,,,
CA-2013-116764,,,,,,,,,9.2159999999999993,9.216,,,,,
CA-2013-116918,,,36.363999999999997,,36.364,,,,,,,,,,
CA-2013-117604,,,,239.5,239.5,,,,,,,,,,
CA-2013-118073,,,,,,,,,562.29250000000013,562.2925,,,,,
CA-2013-118178,,,,,,,,,31.086000000000006,31.086,,,,,
CA-2013-118514,,,,866.4,866.4,,,,,,,,,,
CA-2013-118626,,,,705.54399999999998,705.544,,,,,,,,,,
CA-2013-118934,,,,,,,,,,,,,,16.218000000000004,16.218
CA-2013-119074,,,,,,,,,92.699999999999989,92.7,,,,,
CA-2013-119515,15.552000000000003,,,,15.552,,,,,,,,,,
CA-2013-119823,75.88,,,,75.88,,,,,,,,,,
CA-2013-120873,,,290.98,,290.98,,,,,,,,,,
CA-2013-121020,,,,,,,,,,,,,,239.976,239.976
CA-2013-121958,,,,52.136000000000003,52.136,,,,,,,,,,
CA-2013-122518,,,,,,,,10.08,,10.08,,,,,
CA-2013-123176,,,31.830000000000002,,31.83,,,,,,,,,,
CA-2013-123414,,,,,,,,,,,,,,37.264000000000003,37.264
CA-2013-123533,,,,,,,,,,,,,,392.83200000000011,392.832
CA-2013-123617,,,,,,,,,7.4340000000000011,7.434,,,,,
CA-2013-123946,,,,,,,,,1159.06,1159.06,,,,,
CA-2013-124254,,,,,,,,,191.80799999999999,191.808,,,,,
CA-2013-124772,191.82,,,,191.82,,,,,,,,,,
CA-2013-125017,,,,,,,,,132.22400000000002,132.224,,,,,
CA-2013-125843,125.92000000000002,,,,125.92,,,,,,,,,,
CA-2013-127208,,,,,,224.9,,,,224.9,,,,,
CA-2013-127698,,863.928,,,863.928,,,,,,,,,,
CA-2013-127985,,,,,,,,,,,,,7.04,,7.04
CA-2013-130001,,,,,,,,,36.240000000000009,36.24,,,,,
CA-2013-130442,34.944000000000003,,,,34.944,,,,,,,,,,
CA-2013-130820,,,,,,,630.024,,,630.024,,,,,
CA-2013-131065,,,513.52,,513.52,,,,,,,,,,
CA-2013-131205,,,,291.73999999999995,291.74,,,,,,,,,,
CA-2013-131968,,,,,,,,,,,,,,681.43200000000013,681.432
CA-2013-132549,,,,73.36,73.36,,,,,,,,,,
CA-2013-133123,,,,99.155999999999992,99.156,,,,,,,,,,
CA-2013-133368,,,,405.34400000000005,405.344,,,,,,,,,,
CA-2013-133711,,,,,,3236.41,,,,3236.41,,,,,
CA-2013-133872,58.400000000000006,,,,58.4,,,,,,,,,,
CA-2013-134208,,,,396,396,,,,,,,,,,
CA-2013-134474,,,,,,,,255.904,,255.904,,,,,
CA-2013-134516,,,,,,,,,115.47999999999999,115.48,,,,,
CA-2013-134789,,,,,,,,,,,,,,215.83999999999997,215.84
CA-2013-135636,,,,387.72,387.72,,,,,,,,,,
CA-2013-136126,,,,,,,,,,,,261.10000000000002,,,261.1
CA-2013-136231,,,228.58599999999998,,228.586,,,,,,,,,,
CA-2013-136322,,,,,,,,,,,,,,74.320000000000007,74.32
CA-2013-136483,,,,4.7039999999999997,4.704,,,,,,,,,,
CA-2013-137043,,,859.14,,859.14,,,,,,,,,,
CA-2013-137736,,,,41.86,41.86,,,,,,,,,,
CA-2013-138695,,,,,,,,,452.464,452.464,,,,,
CA-2013-139269,,,,,,,,,,,,,,1311.9699999999998,1311.97
CA-2013-139381,,,,233.48,233.48,,,,,,,,,,
CA-2013-139689,,,,,,,,,40.896000000000001,40.896,,,,,
CA-2013-140543,,,191.88,,191.88,,,,,,,,,,
CA-2013-140571,,,,,,,,,,,,,,365.44,365.44
CA-2013-140641,,,,38.190000000000012,38.19,,,,,,,,,,
CA-2013-140928,,,,,,,,,383.43799999999999,383.438,,,,,
CA-2013-140977,,,,,,,,,,,,,91.474999999999994,,91.475
CA-2013-141180,,,7.7640000000000011,,7.764,,,,,,,,,,
CA-2013-142097,,,,,,,,,342.76,342.76,,,,,
CA-2013-142370,,,,254.99,254.99,,,,,,,,,,
CA-2013-142895,,,,370.18400000000003,370.184,,,,,,,,,,
CA-2013-143308,,10.74,,,10.74,,,,,,,,,,
CA-2013-143805,,,,,,,,2145.2499999999995,,2145.25,,,,,
CA-2013-144344,,314.39300000000003,,,314.393,,,,,,,,,,
CA-2013-145247,79.14,,,,79.14,,,,,,,,,,
CA-2013-145499,3.2820000000000005,,,,3.282,,,,,,,,,,
CA-2013-145709,,,,,,,,,64.24799999999999,64.248,,,,,
CA-2013-145905,,,,1264.1400000000001,1264.14,,,,,,,,,,
CA-2013-146143,,,,133.38,133.38,,,,,,,,,,
CA-2013-146150,,,,264.18,264.18,,,,,,,,,,
CA-2013-146171,,,,,,,,,,,,,,558.24,558.24
CA-2013-147368,695.7,,,,695.7,,,,,,,,,,
CA-2013-148684,,,,870.04,870.04,,,,,,,,,,
CA-2013-149111,,,,,,,,,,,,,55.416000000000004,,55.416
CA-2013-149454,,,,,,,,,,,10.44,,,,10.44
CA-2013-149783,,,131.10400000000001,,131.104,,,,,,,,,,
CA-2013-149979,,,487.21999999999997,,487.22,,,,,,,,,,
CA-2013-150000,,,,17.920000000000002,17.92,,,,,,,,,,
CA-2013-151155,,,,,,,,,,,,,,34.340000000000003,34.34
CA-2013-152156,,,993.89999999999986,,993.9,,,,,,,,,,
CA-2013-152163,,85.5,,,85.5,,,,,,,,,,
CA-2013-152471,,839.94400000000019,,,839.944,,,,,,,,,,
CA-2013-153318,,,,,,783.96000000000015,,,,783.96,,,,,
CA-2013-154060,,,,187.05600000000001,187.056,,,,,,,,,,
CA-2013-154403,,,,,,,,,,,,,,4.9800000000000004,4.98
CA-2013-154690,,,225.29600000000002,,225.296,,,,,,,,,,
CA-2013-155138,,,,99.872000000000014,99.872,,,,,,,,,,
CA-2013-155439,,,,,,,,,,,,,,25.92,25.92
CA-2013-155670,,,21.504000000000005,,21.504,,,,,,,,,,
CA-2013-156503,,,,305.24799999999999,305.248,,,,,,,,,,
CA-2013-156573,,,,60.484999999999999,60.485,,,,,,,,,,
